SRR1930034	SRR1930035	SRR1930036	SRR1930037	SRR1930038	SRR1930039
ENSMUSG00000088943	0	0	1	0	1	0
ENSMUSG00000100652	0	0	2	1	0	0
ENSMUSG00000067795	5	7	5	5	8	4
ENSMUSG00000043716	2889	2738	2984	4032	2963	2808
ENSMUSG00000025921	184	163	171	199	177	165
ENSMUSG00000104165	3	4	4	2	3	2
ENSMUSG00000100868	10	7	8	5	10	10
ENSMUSG00000025920	2804	2766	3029	3830	3125	3013
ENSMUSG00000089982	2	10	3	6	5	15
ENSMUSG00000025939	774	874	789	1099	840	920
ENSMUSG00000102457	12	24	18	10	9	14
ENSMUSG00000079658	1087	1113	1167	1290	1113	1171
ENSMUSG00000097744	0	0	0	1	1	0
ENSMUSG00000100959	0	1	0	0	0	1
ENSMUSG00000025940	392	405	407	572	394	424
ENSMUSG00000025779	6	3	5	6	4	8
ENSMUSG00000100093	0	0	0	0	0	0
ENSMUSG00000091020	24	13	15	13	16	20
ENSMUSG00000101640	0	1	0	0	0	1
ENSMUSG00000104133	0	1	1	0	1	1
ENSMUSG00000042686	651	729	678	904	816	841
ENSMUSG00000100110	1	0	2	2	0	1
ENSMUSG00000025777	2223	2608	2550	2978	2581	2512
ENSMUSG00000099899	4	10	10	21	10	15
ENSMUSG00000100272	0	0	0	0	0	0
ENSMUSG00000100398	0	0	0	0	0	0
ENSMUSG00000101589	45	54	62	70	68	65
ENSMUSG00000102048	1	1	0	2	2	0
ENSMUSG00000089534	0	0	0	0	0	0
ENSMUSG00000067780	6	4	2	3	10	9
ENSMUSG00000100053	7	7	5	9	7	15
ENSMUSG00000085125	33	28	26	36	28	52
ENSMUSG00000025776	150	138	151	186	145	180
ENSMUSG00000099895	3	4	4	3	3	5
ENSMUSG00000100554	3	1	6	2	2	0
ENSMUSG00000099473	0	1	0	1	2	0
ENSMUSG00000099591	2	1	1	6	4	3
ENSMUSG00000109887	15	16	18	23	20	21
ENSMUSG00000102001	0	0	0	0	0	1
ENSMUSG00000101717	0	0	0	0	0	0
ENSMUSG00000025774	0	0	0	0	0	0
ENSMUSG00000070977	0	0	0	0	0	0
ENSMUSG00000073735	0	0	0	0	0	0
ENSMUSG00000067773	0	0	0	0	0	0
ENSMUSG00000101685	0	0	0	0	0	0
ENSMUSG00000101738	0	0	0	0	0	0
ENSMUSG00000101306	0	0	0	0	0	0
ENSMUSG00000088800	0	0	0	0	0	0
ENSMUSG00000101644	0	0	0	0	0	0
ENSMUSG00000099433	0	0	0	0	0	0
ENSMUSG00000089787	0	0	0	1	0	0
ENSMUSG00000042596	3	2	3	0	1	2
ENSMUSG00000100720	0	2	0	0	1	0
ENSMUSG00000025927	11	4	7	10	13	11
ENSMUSG00000100538	0	0	0	0	0	0
ENSMUSG00000101117	0	0	0	0	0	0
ENSMUSG00000100204	24	23	34	30	31	36
ENSMUSG00000084668	0	0	0	0	0	0
ENSMUSG00000102597	0	0	0	0	0	0
ENSMUSG00000043760	1	2	2	4	7	0
ENSMUSG00000104095	0	0	0	0	0	0
ENSMUSG00000089914	0	1	1	1	1	0
ENSMUSG00000090142	0	0	0	0	0	0
ENSMUSG00000070175	0	0	0	0	0	0
ENSMUSG00000065559	0	0	0	0	0	0
ENSMUSG00000099906	0	0	0	0	0	0
ENSMUSG00000065480	0	0	0	0	0	0
ENSMUSG00000025929	0	0	0	0	0	0
ENSMUSG00000041872	1	0	0	0	0	0
ENSMUSG00000041859	35	32	42	44	18	32
ENSMUSG00000099714	0	0	0	0	0	0
ENSMUSG00000102121	0	0	0	0	0	0
ENSMUSG00000088858	0	0	0	0	0	0
ENSMUSG00000097934	9	11	10	3	5	3
ENSMUSG00000025931	2624	2573	2853	3457	2674	2805
ENSMUSG00000077314	1	1	0	4	1	3
ENSMUSG00000100929	14	6	12	10	13	9
ENSMUSG00000041809	16	12	21	23	16	10
ENSMUSG00000041779	13	13	13	9	15	16
ENSMUSG00000099971	0	0	0	0	1	1
ENSMUSG00000100819	2	2	5	3	3	3
ENSMUSG00000025933	254	271	253	361	232	279
ENSMUSG00000102633	4	10	8	9	11	13
ENSMUSG00000025934	35	25	34	42	33	46
ENSMUSG00000099343	4	1	3	5	1	5
ENSMUSG00000096375	0	5	1	3	3	2
ENSMUSG00000025936	0	1	1	1	0	1
ENSMUSG00000093963	0	0	0	0	0	0
ENSMUSG00000067750	0	0	0	1	1	1
ENSMUSG00000086194	0	0	0	2	0	0
ENSMUSG00000094436	0	0	0	0	0	0
ENSMUSG00000041722	2	2	1	1	4	2
ENSMUSG00000085507	0	0	3	2	3	2
ENSMUSG00000094926	0	0	0	0	0	0
ENSMUSG00000085079	1	7	3	8	5	6
ENSMUSG00000085679	0	0	0	0	0	1
ENSMUSG00000028033	3175	3358	3603	3612	3387	3486
ENSMUSG00000104138	18	16	23	19	22	31
ENSMUSG00000082935	100	104	121	157	118	118
ENSMUSG00000103748	56	47	47	45	40	82
ENSMUSG00000097109	181	145	165	155	153	186
ENSMUSG00000099692	0	1	0	0	0	0
ENSMUSG00000100418	0	0	0	0	0	0
ENSMUSG00000041670	6414	7332	6395	7679	7058	7447
ENSMUSG00000097642	28	16	19	19	32	42
ENSMUSG00000101468	0	0	0	0	0	0
ENSMUSG00000101227	3	1	3	2	3	2
ENSMUSG00000073730	0	0	0	1	0	0
ENSMUSG00000089553	0	0	0	0	0	0
ENSMUSG00000102766	0	0	0	0	0	0
ENSMUSG00000065405	1	1	0	3	0	2
ENSMUSG00000097970	18	21	16	21	18	26
ENSMUSG00000065567	0	0	0	0	0	0
ENSMUSG00000100775	1	1	0	2	1	3
ENSMUSG00000101226	0	1	0	0	0	1
ENSMUSG00000026158	4136	4541	4577	5135	4437	4476
ENSMUSG00000097920	0	0	0	0	0	0
ENSMUSG00000099503	0	0	0	0	0	0
ENSMUSG00000026156	114	126	146	151	125	156
ENSMUSG00000026155	549	643	627	650	667	644
ENSMUSG00000026154	81	69	72	124	55	79
ENSMUSG00000102495	0	0	1	1	1	2
ENSMUSG00000026153	1026	1168	1048	1202	1043	1070
ENSMUSG00000102398	5	4	7	5	10	8
ENSMUSG00000097670	0	0	0	0	0	0
ENSMUSG00000026147	13	14	9	19	11	14
ENSMUSG00000026141	838	997	1090	845	771	914
ENSMUSG00000077463	0	0	0	0	0	0
ENSMUSG00000099997	90	50	62	92	73	74
ENSMUSG00000100131	147	206	229	237	1072	219
ENSMUSG00000067736	20	15	15	24	20	18
ENSMUSG00000101939	26	28	41	64	37	46
ENSMUSG00000101111	546	539	652	890	568	1615
ENSMUSG00000100862	526	601	649	1059	678	686
ENSMUSG00000102070	243	325	385	361	307	467
ENSMUSG00000101249	561	716	945	845	650	909
ENSMUSG00000073725	2655	3068	2997	3252	2998	3027
ENSMUSG00000100808	0	0	0	0	0	0
ENSMUSG00000100483	0	0	0	0	0	0
ENSMUSG00000100450	0	0	0	1	0	0
ENSMUSG00000099392	0	0	0	0	0	0
ENSMUSG00000033569	3268	3906	3684	4101	3678	4050
ENSMUSG00000080849	15	9	16	9	4	8
ENSMUSG00000104257	27	38	30	30	40	46
ENSMUSG00000096866	3	5	5	3	3	3
ENSMUSG00000102296	26	15	7	10	17	37
ENSMUSG00000103209	142	186	125	108	174	220
ENSMUSG00000104027	86	119	77	68	106	139
ENSMUSG00000102407	94	134	106	85	131	177
ENSMUSG00000103214	171	209	192	155	219	309
ENSMUSG00000104100	76	111	78	89	91	149
ENSMUSG00000084740	0	0	0	2	0	0
ENSMUSG00000103889	44	58	38	42	38	69
ENSMUSG00000101301	17	22	16	11	12	27
ENSMUSG00000104221	90	85	77	91	76	129
ENSMUSG00000102250	274	276	260	276	246	423
ENSMUSG00000102317	289	339	308	286	309	490
ENSMUSG00000103563	154	132	150	160	136	218
ENSMUSG00000102465	177	172	170	178	191	266
ENSMUSG00000102659	96	87	67	65	66	106
ENSMUSG00000103924	287	362	313	310	355	530
ENSMUSG00000104132	238	248	195	243	224	336
ENSMUSG00000102747	231	274	228	216	244	401
ENSMUSG00000102386	81	79	81	65	78	110
ENSMUSG00000103004	46	42	44	45	30	46
ENSMUSG00000104516	16	10	8	16	14	18
ENSMUSG00000101618	0	0	0	0	0	0
ENSMUSG00000099458	0	0	0	0	0	0
ENSMUSG00000088111	0	0	0	0	0	0
ENSMUSG00000073722	0	0	0	0	1	0
ENSMUSG00000095256	0	0	0	0	0	0
ENSMUSG00000100310	0	0	0	0	0	0
ENSMUSG00000101514	0	0	0	0	0	0
ENSMUSG00000101033	0	0	0	0	0	0
ENSMUSG00000101372	11	1	15	2	15	12
ENSMUSG00000103241	0	0	0	0	0	0
ENSMUSG00000086240	0	0	1	0	1	0
ENSMUSG00000048411	0	0	0	0	0	1
ENSMUSG00000081557	7	13	14	17	11	16
ENSMUSG00000058590	0	0	0	0	0	0
ENSMUSG00000101235	0	0	0	0	0	0
ENSMUSG00000064433	0	0	0	0	0	0
ENSMUSG00000080625	0	0	0	0	0	0
ENSMUSG00000080391	0	0	0	0	0	0
ENSMUSG00000099257	0	0	0	0	0	0
ENSMUSG00000099492	7	10	8	10	12	7
ENSMUSG00000101726	2	1	2	1	2	2
ENSMUSG00000096829	0	0	0	0	0	0
ENSMUSG00000098883	0	0	0	0	0	0
ENSMUSG00000053185	1	3	0	1	4	4
ENSMUSG00000100261	25	21	29	33	32	17
ENSMUSG00000101180	0	0	0	0	0	0
ENSMUSG00000048874	3790	4056	4019	4425	4175	4359
ENSMUSG00000103783	23	46	51	35	35	64
ENSMUSG00000104315	63	75	67	51	71	91
ENSMUSG00000026064	352	393	569	414	436	403
ENSMUSG00000086151	0	0	0	0	0	0
ENSMUSG00000086726	0	0	0	0	0	0
ENSMUSG00000087346	0	0	0	0	0	2
ENSMUSG00000100371	0	0	0	0	0	0
ENSMUSG00000100237	0	0	0	0	0	0
ENSMUSG00000098529	0	0	0	0	0	0
ENSMUSG00000086727	1	0	0	0	0	0
ENSMUSG00000100910	0	2	1	0	1	3
ENSMUSG00000099796	1	0	0	0	0	0
ENSMUSG00000050217	0	0	0	0	0	0
ENSMUSG00000026063	0	0	0	4	0	0
ENSMUSG00000077664	0	0	0	0	0	0
ENSMUSG00000100205	0	0	0	0	0	0
ENSMUSG00000100592	0	0	0	0	0	0
ENSMUSG00000094215	0	0	0	0	0	0
ENSMUSG00000101093	0	0	0	0	0	0
ENSMUSG00000070960	2	5	7	3	1	3
ENSMUSG00000088620	0	0	0	0	0	0
ENSMUSG00000082159	0	0	0	0	0	0
ENSMUSG00000026058	391	416	361	477	382	467
ENSMUSG00000064688	1	1	0	0	1	1
ENSMUSG00000103482	55	98	82	77	69	75
ENSMUSG00000104498	0	0	0	0	0	0
ENSMUSG00000104313	28	53	35	28	33	47
ENSMUSG00000102865	19	16	17	12	18	23
ENSMUSG00000102321	65	72	67	64	58	86
ENSMUSG00000091318	78	123	77	83	90	130
ENSMUSG00000089489	2	2	2	1	2	0
ENSMUSG00000104433	7	14	15	7	13	13
ENSMUSG00000089395	0	1	0	0	0	0
ENSMUSG00000102926	0	0	0	0	1	0
ENSMUSG00000100497	0	0	0	0	0	0
ENSMUSG00000102917	0	0	0	0	0	0
ENSMUSG00000100481	3	7	10	10	3	7
ENSMUSG00000100590	2	1	2	1	2	1
ENSMUSG00000088750	0	0	0	0	0	0
ENSMUSG00000104230	0	0	0	0	0	0
ENSMUSG00000101754	0	0	0	0	0	0
ENSMUSG00000065223	0	0	0	0	0	0
ENSMUSG00000100318	0	0	0	0	0	0
ENSMUSG00000101612	1	1	2	0	0	0
ENSMUSG00000065260	0	0	0	0	0	0
ENSMUSG00000026134	265	207	231	269	202	200
ENSMUSG00000101682	1	0	3	2	1	4
ENSMUSG00000102714	1	3	1	6	4	12
ENSMUSG00000102093	0	1	2	1	1	0
ENSMUSG00000103746	11	4	4	8	2	4
ENSMUSG00000102198	2	1	4	1	1	1
ENSMUSG00000004768	270	316	294	278	335	291
ENSMUSG00000042215	109	128	90	126	118	106
ENSMUSG00000103072	0	0	0	0	0	0
ENSMUSG00000042197	2026	2650	2130	2520	2190	2450
ENSMUSG00000081402	6	6	17	6	9	7
ENSMUSG00000042182	3042	3114	3221	3486	2963	2979
ENSMUSG00000104416	36	49	33	38	38	51
ENSMUSG00000026131	15024	18493	16626	16014	15653	16441
ENSMUSG00000103596	3	9	13	9	7	10
ENSMUSG00000099382	0	0	1	1	1	0
ENSMUSG00000084506	0	0	1	0	0	1
ENSMUSG00000103364	27	30	30	18	26	49
ENSMUSG00000105982	1	1	0	0	1	1
ENSMUSG00000096992	57	78	74	61	52	79
ENSMUSG00000103001	11	12	11	6	13	13
ENSMUSG00000104397	0	0	0	0	0	0
ENSMUSG00000102839	0	0	0	0	0	0
ENSMUSG00000101206	0	0	0	0	0	0
ENSMUSG00000101462	8	11	5	19	11	12
ENSMUSG00000102336	95	115	97	151	119	151
ENSMUSG00000092852	0	0	0	0	0	0
ENSMUSG00000042111	212	244	270	272	217	226
ENSMUSG00000101711	4	0	1	4	1	2
ENSMUSG00000026127	411	463	442	475	417	446
ENSMUSG00000026126	5	10	6	9	17	11
ENSMUSG00000100280	1	2	3	2	1	2
ENSMUSG00000101223	1	0	1	2	0	1
ENSMUSG00000026125	0	0	0	0	0	0
ENSMUSG00000101116	0	0	0	0	0	0
ENSMUSG00000026124	0	0	0	0	0	0
ENSMUSG00000101803	0	0	0	0	0	0
ENSMUSG00000037529	1	0	0	0	0	1
ENSMUSG00000045815	3	0	2	1	1	4
ENSMUSG00000045174	721	718	834	868	840	817
ENSMUSG00000100524	0	0	0	0	0	0
ENSMUSG00000102499	0	0	0	0	0	0
ENSMUSG00000103521	0	1	0	0	0	0
ENSMUSG00000104098	0	0	0	0	0	0
ENSMUSG00000037509	2102	2042	2210	2880	2425	2290
ENSMUSG00000102537	1	2	0	2	1	2
ENSMUSG00000102612	1	1	2	3	1	5
ENSMUSG00000104002	43	92	58	70	61	82
ENSMUSG00000037503	5477	5213	5637	6525	5200	5298
ENSMUSG00000104358	33	66	52	54	41	48
ENSMUSG00000026123	3496	3398	3492	3966	3209	3355
ENSMUSG00000103716	0	0	0	0	0	0
ENSMUSG00000103548	33	54	43	62	29	60
ENSMUSG00000103760	4	3	4	3	4	4
ENSMUSG00000103997	0	0	0	0	0	0
ENSMUSG00000077231	0	0	0	0	0	0
ENSMUSG00000104417	1	0	4	0	0	3
ENSMUSG00000064601	0	0	0	0	0	0
ENSMUSG00000101714	0	0	0	0	0	0
ENSMUSG00000102531	4	1	5	7	5	2
ENSMUSG00000103096	0	0	0	0	0	0
ENSMUSG00000102279	0	0	0	0	0	0
ENSMUSG00000103708	0	0	0	0	0	0
ENSMUSG00000104201	0	0	0	0	0	0
ENSMUSG00000102434	1	0	2	1	1	0
ENSMUSG00000045216	901	785	847	889	868	838
ENSMUSG00000104523	0	0	0	0	0	0
ENSMUSG00000102202	23	20	15	28	18	26
ENSMUSG00000037470	2189	2019	2277	2671	2275	2402
ENSMUSG00000098752	0	1	0	0	0	0
ENSMUSG00000047180	7	5	2	7	5	3
ENSMUSG00000037447	159	254	192	225	194	208
ENSMUSG00000102762	4	4	1	4	1	3
ENSMUSG00000010453	1558	1538	1696	1778	1557	1633
ENSMUSG00000098680	1	0	0	0	0	0
ENSMUSG00000037432	74	98	74	102	82	72
ENSMUSG00000001143	392	411	338	436	379	383
ENSMUSG00000037408	293	332	314	372	329	359
ENSMUSG00000104316	6	7	5	7	12	10
ENSMUSG00000106081	0	0	0	0	0	0
ENSMUSG00000001138	334	323	349	329	351	346
ENSMUSG00000102845	0	0	0	0	0	0
ENSMUSG00000067653	12	8	12	17	8	4
ENSMUSG00000109510	0	0	0	0	0	0
ENSMUSG00000079610	95	103	111	117	95	118
ENSMUSG00000026121	162	198	187	202	188	180
ENSMUSG00000087589	14	8	10	18	13	18
ENSMUSG00000046337	2	0	3	1	1	1
ENSMUSG00000089906	0	0	0	7	0	0
ENSMUSG00000077939	0	0	0	0	0	0
ENSMUSG00000061518	1688	1498	1936	2097	1381	1514
ENSMUSG00000037351	4442	4189	4751	5674	4426	4707
ENSMUSG00000102416	4	5	5	10	7	11
ENSMUSG00000104237	35	41	33	57	59	40
ENSMUSG00000026117	8	13	7	15	7	6
ENSMUSG00000097291	0	1	1	0	0	0
ENSMUSG00000026116	1214	1599	1371	1431	1474	1506
ENSMUSG00000103016	0	0	0	0	0	1
ENSMUSG00000102930	20	24	19	23	16	37
ENSMUSG00000103159	15	35	28	22	24	27
ENSMUSG00000080054	0	0	0	0	1	0
ENSMUSG00000095944	0	0	0	0	0	0
ENSMUSG00000050122	4	3	4	10	10	11
ENSMUSG00000103603	0	1	5	0	0	2
ENSMUSG00000026114	1	1	0	0	1	1
ENSMUSG00000102231	0	0	0	0	0	0
ENSMUSG00000026113	2370	3379	2562	2552	2741	2681
ENSMUSG00000086064	6	8	13	12	11	15
ENSMUSG00000102879	6	6	9	6	6	6
ENSMUSG00000026112	904	1080	981	1171	1060	966
ENSMUSG00000026111	396	380	385	490	401	418
ENSMUSG00000026110	1389	1509	1533	1481	1362	1369
ENSMUSG00000103948	11	7	8	7	9	14
ENSMUSG00000087233	1	2	2	2	1	2
ENSMUSG00000026090	3869	4114	4188	5231	4412	4373
ENSMUSG00000089767	35	28	22	23	43	26
ENSMUSG00000104365	17	20	21	18	21	26
ENSMUSG00000102650	33	54	48	49	46	72
ENSMUSG00000060771	322	436	349	461	412	472
ENSMUSG00000097268	48	54	50	64	66	63
ENSMUSG00000037216	73	73	54	90	68	80
ENSMUSG00000026088	124	125	143	136	122	134
ENSMUSG00000026087	547	531	502	727	542	476
ENSMUSG00000061584	0	1	0	1	0	0
ENSMUSG00000087374	0	0	0	0	0	0
ENSMUSG00000026085	0	0	0	0	0	0
ENSMUSG00000089141	0	0	0	0	0	0
ENSMUSG00000058407	770	841	909	1219	951	1016
ENSMUSG00000026083	741	1044	771	852	835	816
ENSMUSG00000026082	597	618	665	749	605	674
ENSMUSG00000103804	15	19	16	25	19	32
ENSMUSG00000102716	0	0	0	0	0	0
