Model Species,Model Gene symbol, Model Gene Name, Human Gene Symbol, Entrez Gene ID, MGI ID, ABA ID, Model ID, Primary Reference, Additional Reference, Model Summary
Mus musculus,Arhgap33,Rho GTPase activating protein 33,ARHGAP33,233071,http://www.informatics.jax.org/marker/MGI:2673998,,"Arhgap33_1_KO_HM,Arhgap33_1_KO_HM_eGFP,Arhgap33_1_KO_HM_eGFP-MutNomagap,Arhgap33_1_KO_HM_eGFP-WtNomagap,Arhgap33_2_KO_Cdc42_DM,Arhgap33_2_KO_Cdc42_DM_eGFP",25869807,,"Arhgap33 knock out mice have normal sensory function, including  vision and olfaction. They show reduced social behavior and increased dendritic spine density in the neocortex"
Mus musculus,Arx,aristaless related homeobox,ARX,11878,http://www.informatics.jax.org/javawi2/servlet/WIFetch?page=markerDetail&key=33741,http://mouse.brain-map.org/brain/Arx.html?ispopup=1,"ARX_1_KO_HE,ARX_2_GCG(10plus7)_HM,ARX_3_GCG(10plus7)_HT,ARX_4_KO_HM",12379852,"1,958,728,219,627,980",Recapitulation of some of the human clinical features of X-linked lissencephaly with abnormal genitalia (XLAG) in Arx mutant mice
Mus musculus,Atg7,Autophagy related 7,ATG7,74244,http://www.informatics.jax.org/marker/MGI:1921494,,"Atg7_1_cKO_HM,Atg7_1_cKO_HM_Rapa",25155956,25155956,"Atg7 null mice die within one day of birth. Loss of Atg7 specifically in hematopoietic stem cells leads to severe myeloproliferation, and death of mice within weeks.  Loss of Atg7 in the liver leads to liver adenomas."
Mus musculus,Atp1a3,Sodium potassium ATPase alpha 3 subunit,ATP1A3,232975,http://www.informatics.jax.org/marker/MGI:88107,http://mouse.brain-map.org/highlights/21618,"ATP1A3_1_HT_KI,ATP1A3_1_HT_KI_Li",,,ATP1A3 mutant mice also called the Myshkin model has an I810N mutation and models deficits in social behaviors
Mus musculus,Atp2b2,"ATPase, Ca++ transporting, plasma membrane 2",ATP2B2,11941,http://www.informatics.jax.org/marker/MGI:105368,http://mouse.brain-map.org/gene/show/11727,ATP2B2_1_KO_HT,22789621,,"Importance of PMCA2 in calcium signaling, glutamate receptor expression and survival of Purkinje cells"
Mus musculus,Atp8a1,"ATPase, aminophospholipid transporter (APLT), class I, type 8A, member 1",ATP8A1,11980,http://www.informatics.jax.org/marker/MGI:1330848,http://mouse.brain-map.org/gene/show/11766,"ATP8A1_1_KO,ATP8A1_1_TG",27287255,,"The Atp8a1 gain of function mouse model is associated with reduced socialbility, fewer and weaker excitatory synapses in the hippocampal CA1 region and inhibition of the Schaefer collateral pathway"
Mus musculus,Atrnl1,Attractin like 1,ATRNL1,226255,http://www.informatics.jax.org/javawi2/servlet/WIFetch?page=markerDetail&key=75189,http://mouse.brain-map.org/brain/Atrnl1.html?ispopup=1,"ATRNL1_1_KO_HM,ATRNL1_2_Tg_mg-3J_HM,ATRNL1_3_Tg_pst112_HM",18064672,,"Mutant mice were grossly normal with no alterations of pigmentation, central nervous system pathology or body weight."
Mus musculus,Auts2,Autism susceptibility candidate 2,AUTS2,319974,http://www.informatics.jax.org/marker/MGI:1919847,,"AUTS2_1_cKO_HM,AUTS2_2_cKO_HT",25519132,,"The conditional knock out ( both homozygous and heterozygous) mice, with Auts2 knocked out only in the brain, show reduced growth and size compared to wild type littermate controls and also display other anomalies during early development like, reduced instances of ultrasonic vocalizations and poor righting reflex."
Rattus norvegicus,Avp,arginine vasopressin,AVP,24221,,,"R_AVP_1_KO_HM,R_AVP_1_KO_HM_CLOZ-10,R_AVP_1_KO_HM_CLOZ-15,R_AVP_1_KO_HM_HAL-1,R_AVP_1_KO_HM_PD-1,R_AVP_1_KO_HM_PD-2",14760394,,Vasopressin and oxytocin are chemically and functionally related neurohormones that have both been implicated in the regulation of social behavior.
Mus musculus,Avpr1a,Arginine vasopressin receptor 1A,AVPR1A,54140,http://www.informatics.jax.org/javawi2/servlet/WIFetch?page=markerDetail&key=46689,http://mouse.brain-map.org/brain/Avpr1a.html?ispopup=1,"AVPR1A_1_KO_HM,AVPR1A_2_KO_HM",12576226,"1,668,263,117,227,680",Avpr1a may also serve as a counter-regulatory restraint upon the immune system during fight or flight situations.
Mus musculus,Baiap2,brain-specific angiogenesis inhibitor 1-associated protein 2,BAIAP2,108100,http://www.informatics.jax.org/javawi2/servlet/WIFetch?page=markerDetail&key=65241,http://mouse.brain-map.org/brain/Baiap2.html?ispopup=1,"BAIAP2_1_KO_HM,BAIAP2_2_KO_HT,BAIAP2_1_KO_HM_memantine,BAIAP2_1_KO_HM_MPEP",19193906,25622145,"Baiap2 is involved in the regulation of NMDA receptor-mediated excitatory synaptic transmission, LTP, and learning and memory behaviors."
Mus musculus,Bckdk,branched chain ketoacid dehydrogenase kinase,BCKDK,12041,http://www.informatics.jax.org/marker/MGI:1276121,http://mouse.brain-map.org/gene/show/11827,"BCKDK_1_KO_HM,BCKDK_1_KO_HM_HPD,BCKDK_1_KO_HM_BCAA",16875466,22956686,"BCKDK knockout mice have reduced body weight, brain size and manifest abnormal gait and hindlimb postures"
Mus musculus,Bdnf,brain derived neurotrophic factor,BDNF,12064,http://www.informatics.jax.org/marker/MGI:88145,http://mouse.brain-map.org/gene/show/11850,BDNF_1_KO_HT,22951260,,Self grooming behavior is a reliable behavioral biomarker of genetic deficits in BDNF pathways
Mus musculus,Brinp1,BMP/RA-inducible neural-specific protein 1,BRINP1,56710,http://www.informatics.jax.org/marker/MGI:1928478,http://mouse.brain-map.org/experiment/show/69012753,"BRINP1_1_KO_HM,BRINP1_1_KO_HM_MPH,BRINP1_1_KO_HT",27042284,,Homozygous null mutant
Mus musculus,Cacna1c,"calcium channel, voltage-dependent, L type, alpha 1C subunit",CACNA1C,12288,http://www.informatics.jax.org/javawi2/servlet/WIFetch?page=markerDetail&key=40682,http://mouse.brain-map.org/brain/Cacna1c.html?ispopup=1,"CACNA1C_1_HM,CACNA1C_2_HM,CACNA1C_3_KI_T1066Y,CACNA1C_4_CN,CACNA1C_5_CN_KO_HM,CACNA1C_2_KO_HT",10973973,"15,146,240,162,514,300,000,000,000,000,000",Role of Cav1.2 subtype of LTCC in the LA is responsible for fear memory acquisition and synaptic plasticity
Mus musculus,Cacna1f,"Calcium channel, voltage dependent, alpha 1F subunit",CACNA1F,54652,http://www.informatics.jax.org/javawi2/servlet/WIFetch?page=markerDetail&key=46828,http://mouse.brain-map.org/brain/Cacna1f.html?ispopup=1,CACNA1F_1_KO_HM,16155113,,Ca(v)1.4 calcium channel is vital for the functional assembly and/or maintenance and synaptic functions of photoreceptor ribbon synapses.
Mus musculus,Cacna1g,"Calcium channel, voltage dependent, T type, alpha 1G subunit",CACNA1G,12291,http://www.informatics.jax.org/javawi2/servlet/WIFetch?page=markerDetail&key=35657,http://mouse.brain-map.org/brain/Cacna1g.html?ispopup=2,"CACNA1G_1_KO_HM,CACNA1G_1_KO_HM_Kainate,CACNA1G_2_KO_HM,CACNA1G_3_CN_KO_HM,CACNA1G_5_KO_HM,CACNA1G_4_KD_HM",11498049,"11,498,049,156,773,200,000,000,000,000,000",Modulation of the intrinsic firing pattern mediated by alpha(1G) T-type Ca(2+) channels plays a critical role in the genesis of absence seizures in the thalamocortical pathway.
Mus musculus,Cacna1h,"calcium channel, voltage-dependent, T type, alpha 1H subunit",CACNA1H,58226,http://www.informatics.jax.org/javawi2/servlet/WIFetch?page=markerDetail&key=49295,http://mouse.brain-map.org/brain/Cacna1h.html?ispopup=3,CACNA1H_1_KO_HM,14631046,,Ca2+ influx through alpha1H T-type Ca2+ channels is essential for normal relaxation of coronary arteries.
Mus musculus,Cadm1,cell adhesion molecule 1,CADM1,54725,http://www.informatics.jax.org/javawi2/servlet/WIFetch?page=markerDetail&key=47677,http://mouse.brain-map.org/brain/Cadm1.html?ispopup=4,"CADM1_3_KO_HM,CADM1_4_KO_HT,CADM1_1_KO_HM,CADM1_2_KO_HT",20450890,16382161,"Cadm1 plays roles in regulating emotional behaviors, social behaviors and motor performances"
Mus musculus,Cadps2,Ca2+-dependent activator protein for secretion 2,CADPS2,320405,http://www.informatics.jax.org/javawi2/servlet/WIFetch?page=markerDetail&key=84995,http://mouse.brain-map.org/brain/Cadps2.html?ispopup=5,"CADPS2_1_KO_HM,CADPS2_2_KO_HT,CADPS2_3_KO_HM,CADPS2_4_KO_HM,CADPS2_5_KO_HT",17344385,"17,380,209,180,223,700,000,000,000,000,000","CAPS2-mediated neurotrophin release is indispensable for normal cerebellar development and functions, including neuronal differentiation and survival, morphogenesis, synaptic function, and motor learning/control"
Mus musculus,Caprin1,RNA granule protein 105 (Caprin 1),CAPRIN1,53872,http://www.informatics.jax.org/marker/MGI:1858234,http://mouse.brain-map.org/experiment/show/71232750,"Caprin1_1_KO_HM,Caprin1_1_KO_HT",26865403,,RNG105 deficient mice display deficits in social interactions and responses to social novelty
Mus musculus,Cc2d1a,Coiled-coil and C2 domain containing 1A,CC2D1A,212139,http://www.informatics.jax.org/allele/MGI:4840725,,"CC2D1A_1_KO_HM,CC2D1A_2_KO_HM,CC2D1A_3_KO_HM,CC2D1A_4_CKO_HM_CamKIIa,CC2D1A_5_CKO_HM_Nestin",26826102,,"Ccd2d1a null mice die very soon after birth, recapitulated in different constructs developed in different laboratories. The cause of death is failure to breathe and impaired swallowing even if overall the newborn pups do not display any major anatomical defect in the heart, lung or brain. Ccd2d1a conditional knockout from forebrain excitatory neurons specifically results in mice that survive through adulthood and are fertile. These conditional knockouts display several behavioral impairments including poor spatial learning, excessive self-grooming,  hyperactivity, increased anxiety and deficie"
Mus musculus,Cd38,CD38 antigen,CD38,12494,http://www.informatics.jax.org/javawi2/servlet/WIFetch?page=markerDetail&key=28646,http://mouse.brain-map.org/brain/Cd38.html?ispopup=6,CD38_1_KO_HM,17287729,21881219,"Cd38 has a key role in neuropeptide release, thereby critically regulating maternal and social behaviours, and may be an element in neurodevelopmental disorders."
Mus musculus,Cdkl5,cyclin-dependent kinase-like 5,CDKL5,382253,http://www.informatics.jax.org/marker/MGI:1278336,http://mouse.brain-map.org/gene/show/120603,"CDKL5_1_KO_HE,CDKL5_2_KO_HT",23236174,,CDKL5 regulates signal transduction pathways and mediates autistic-like phenotypes and together establish a causal role for Cdkl5 loss-of-function in neurodevelopmental disorders
Mus musculus,Celf4,"CUGBP, Elav-like family member 4",CELF4,108013,,,"CELF4_1_CN_KO_HM,CELF4_2_CN_KO_HM,CELF4_3_CN_KO_HM,CELF4_4_CN_KO_HM,CELF4_5_CN_KO_HM,CELF4_6_CN_KO_HM,CELF4_7_CN_KO_HM",21745337,,Altered excitatory neurotransmission resulting from Celf4 deficiency underlies the complex seizure disorder in Celf4 mutant mice
Mus musculus,Celf6,"CUGBP, Elav-like family member 6",CELF6,76183,http://www.informatics.jax.org/marker/MGI:1923433,http://mouse.brain-map.org/gene/show/52024,CELF6_1_KO_HM,23407934,,Reproducible and accurate method to profile serotonergic neurons under a variety of conditions and suggests a novel paradigm for gaining information on the etiology of psychiatric disorders
Mus musculus,Chd7,chromodomain helicase DNA binding protein 7,CHD7,320790,http://www.informatics.jax.org/marker/MGI:2444748,,Chd7_1_SP_HT,22539951,,The deletion of Chd7 causes inner year problems in the mouse  model and mutations in this gene have been found in some patients with the CHARGE syndrome
Mus musculus,Chd8,chromodomain helicase DNA binding protein 8,CHD8,67772,http://www.informatics.jax.org/marker/MGI:1915022,http://mouse.brain-map.org/gene/show/43615,CHD8_1_KO_HM,,19151705,"Mode of p53 regulation mediated by CHD8, which may set a threshold for induction of apoptosis during early embryogenesis by counteracting p53 function through recruitment of histone H1"
Mus musculus,Clstn3,calsyntenin 3,CLSTN3,232370,MGI:2178323,,Clstn3_1_KO_HM,24094106,,calsyntenin-3 KO mice display impaired synaptogenesis
Mus musculus,Cntn4,contactin 4,CNTN4,269784,http://www.informatics.jax.org/javawi2/servlet/WIFetch?page=markerDetail&key=33243,http://mouse.brain-map.org/brain/Cntn4.html?ispopup=7,CNTN4_1_HM,18367085,,Cntn4 is one of the axon guidance molecules crucial for the formation and maintenance of functional odor map in the olfactory bulb
Mus musculus,Cntnap2,contactin associated protein-like 2,CNTNAP2,66797,http://www.informatics.jax.org/javawi2/servlet/WIFetch?page=markerDetail&key=50777,http://mouse.brain-map.org/brain/Cntnap2.html?ispopup=9,"CNTNAP2_4_KO_HM,CNTNAP2_1_KO_d4.1_Tg,CNTNAP2_2_KO_C2_Tg,CNTNAP2_3_KO_HM,CNTNAP2_5_KO_HM,CNTNAP2_5_KO_HM_Risperidone,CNTNAP2_6_KO_HT,CNTNAP2_5_KO_HM_AVP-1,CNTNAP2_5_KO_HM_AVP-2,CNTNAP2_5_KO_HM_AVPR-Ant_AVP,CNTNAP2_5_KO_HM_DREADD-OXTN,CNTNAP2_5_KO_HM_Fenobam,CNTNAP2_5_KO_HM_Flumazenil,CNTNAP2_5_KO_HM_Fluoxetine,CNTNAP2_5_KO_HM_MC4R-Ag,CNTNAP2_5_KO_HM_OXTR-Ant_AVP,CNTNAP2_5_KO_HM_OXTR-Ant_MC4R-Ag,CNTNAP2_5_KO_HM_OXTR-Ant_OXT,CNTNAP2_5_KO_HM_Oxytocin-1,CNTNAP2_5_KO_HM_Oxytocin-2,CNTNAP2_5_KO_HM_Oxytocin-3",12963709,"20,164,332,219,625,100,000,000,000,000,000",Axon-glia interactions mediated by Cntnap2 and Tag-1 s allow myelinating glial cells to organize ion channels in the underlying axonal membrane
Mus musculus,Cntnap4,contactin associated protein-like 4,CNTNAP4,170571,http://www.informatics.jax.org/marker/MGI:2183572,,"Cntnap4_1_KO_HT,Cntnap4_1_KO_HT-Halo,Cntnap4_1_KO_HT-Indi,Cntnap4_2_KO_HM,Cntnap4_2_KO_HM-Indi,Cntnap4_3_KO_HM,Cntnap4_4_KO_HM-PV-Cre-RFP",24870235,,Cntnap4 null mice have increased levels of dopamine and decreased levels of Gabaergic signaling. They show abnormal perseverative allo-grooming behavior and impaired sensorimotor gating
Mus musculus,Csnk1d,"casein kinase 1, delta",CSNK1D,104318,http://www.informatics.jax.org/marker/MGI:1355272,http://mouse.brain-map.org/gene/show/68483,"CSNK1D_1_CN_KO_HT,CSNK1D_2_CN_KO_HM,CSNK1D_3_CN_KO_HM",19414593,,Important functional differences between Csnk1d and Csnk1e; Csnk1d plays an unexpectedly important role in maintaining the 24-h circadian cycle length
Mus musculus,ctnnb1,"catenin (cadherin associated protein), beta 1",CTNNB1,12387,http://www.informatics.jax.org/marker/MGI:88276,http://mouse.brain-map.org/experiment/show?id=79904258,CTNNB1_1_cKO_HT,27131348,,This model specifically deletes CTNNB1 in parvalbumin interneurons
Mus musculus,Ctnnd2,"Catenin(cadherin associated protein), delta 2",CTNND2,18163,http://www.informatics.jax.org/marker/MGI:1195966,,Ctnnd2_1_KO_HM,15380068,,Delta catenin null mice are deficient in spatial learning and display poor memory of pavlovian fear conditioning
Mus musculus,Cxcr3,chemokine (C-X-C motif) receptor 3,CXCR3,12766,http://www.informatics.jax.org/javawi2/servlet/WIFetch?page=markerDetail&key=37063,http://mouse.brain-map.org/brain/Cxcr3.html?ispopup=10,CXCR3_1_KO_HM,17538187,,Ameliorated nephritis in CXCR3-deficient mice due to impaired renal trafficking of effector T cells
Mus musculus,Cyfip1,Cytoplasmic FMR1 interacting protein 1,CYFIP1,20430,,,CYFIP1_1_Tg,25311365,,"The transgenic mice expressing Cyfip1 transgene, leading to increased production of the protein have increased mature dendritic spines and dendritic spine density."
Mus musculus,Dab1,Disabled homolog 1,DAB1,13131,http://www.informatics.jax.org/javawi2/servlet/WIFetch?page=markerDetail&key=30143,http://mouse.brain-map.org/brain/Dab1.html?ispopup=11,DAB1_1_SM_HM,11580894,,Reelin pathway contributes to the formation of neuronal circuits in the CNS in addition to neuronal migration
Mus musculus,Dab1,Disabled homolog 1,DAB1,13131,http://www.informatics.jax.org/javawi2/servlet/WIFetch?page=markerDetail&key=30143,http://mouse.brain-map.org/brain/Dab1.html?ispopup=11,DAB1_1_SM_HM,11580894,,Reelin pathway contributes to the formation of neuronal circuits in the CNS in addition to neuronal migration
Mus musculus,Dhcr7,7-dehydrocholesterol reductase,DHCR7,13360,,,"DHCR7_3_HM,DHCR7_4_HT,DHCR7_1_KO_HM,DHCR7_2_KO_HT,DHCR7_1_KO_HT",11560960,11230174,Underlying dysfunction of the 5-HT2A receptors that warrants further investigation to establish how this may related to behavioral disturbances in human patients carrying Dhcr7 mutations
Mus musculus,Disc1,Disrupted in schizophrenia 1,DISC1,244667,http://www.informatics.jax.org/javawi2/servlet/WIFetch?page=markerDetail&key=82951,http://mouse.brain-map.org/brain/Disc1.html?ispopup=13,"DISC1_1_KO_HM,DISC1_2_KO_HT,DISC1_3_Q31L_HM,DISC1_4_Q31L_HT,DISC1_5_L100P_HM,DISC1_6_L100P_HT,DISC1_7_KI_DN_HM,DISC1_8_KI_H_HM,DISC1_11_KI_CC_HM,DISC1_10_KO_HT,DISC1_9_KO_HM",16484369,"1,748,139,317,675,400,000,000,000,000,000,000,000,000",Model provides insight into how DISC1 variation contributes to schizophrenia susceptibility in humans and have implications for modeling psychiatric diseases in mice.
Mus musculus,Disc1,Disrupted in schizophrenia 1,DISC1,244667,http://www.informatics.jax.org/javawi2/servlet/WIFetch?page=markerDetail&key=82951,http://mouse.brain-map.org/brain/Disc1.html?ispopup=13,"DISC1_1_KO_HM,DISC1_2_KO_HT,DISC1_3_Q31L_HM,DISC1_4_Q31L_HT,DISC1_5_L100P_HM,DISC1_6_L100P_HT,DISC1_7_KI_DN_HM,DISC1_8_KI_H_HM,DISC1_11_KI_CC_HM,DISC1_10_KO_HT,DISC1_9_KO_HM",16484369,"1,748,139,317,675,400,000,000,000,000,000,000,000,000",Model provides insight into how DISC1 variation contributes to schizophrenia susceptibility in humans and have implications for modeling psychiatric diseases in mice.
Mus musculus,Dlg4,"discs, large homolog 4 (Drosophila)",DLG4,13385,http://www.informatics.jax.org/javawi2/servlet/WIFetch?page=markerDetail&key=37283,http://mouse.brain-map.org/brain/Dlg4.html?ispopup=14,DLG4_1_KO_HM,20952458,,"Characterization of functional null mutation of PSD-95 for behavioral, dendritic, and molecular phenotypic abnormalities relevant to neurodevelopmental disorders"
Mus musculus,Dmd,"Dystrophin, muscular dystrophy",DMD,13405,http://www.informatics.jax.org/javawi2/servlet/WIFetch?page=markerDetail&key=7878,http://mouse.brain-map.org/brain/Dmd.html?ispopup=15,"DMD_1_KO_HM,DMD_2_CN_HM,DMD_3_KO_HM,DMD_4_KO_HM,DMD_5_MDX_HM,DMD_6_MDX_HM",15694376,"1,569,437,618,927,140,000,000,000,000,000,000,000,000",Alteration of amygdala local inhibitory neuronal circuits & enhancement of fear-motivated defensive behaviors
Mus musculus,Dmpk,dystrophia myotonica-protein kinase,DMPK,13400,http://www.informatics.jax.org/javawi2/servlet/WIFetch?page=markerDetail&key=7875,http://mouse.brain-map.org/brain/Dmpk.html?ispopup=16,"DMPK_1_KO_HM,DMPK_2_KO_HT",8673131,,Simple loss- or gain-of-expression of DMPK is not the only crucial requirement for development of myotonic dystrophy
Mus musculus,Dpp6,dipeptidyl peptidase 6,DPP6,13483,http://www.informatics.jax.org/marker/MGI:94921,,DPP6_1_KD,23832105,,DPP6 knock downs  have impaired learning and memory.
Mus musculus,Drd3,Dopamine receptor 3,DRD3,13490,http://www.informatics.jax.org/javawi2/servlet/WIFetch?page=markerDetail&key=7907,http://mouse.brain-map.org/brain/Drd3.html?ispopup=17,"DRD3_1_KO_HM,DRD3_2_KO_HT,DRD3_3_KO_HM",8700864,9354330,D3 receptors play an inhibitory role in the control of certain behaviors.
Mus musculus,Dscam,Down syndrome cell adhesion molecule,DSCAM,13508,http://www.ncbi.nlm.nih.gov/gene/13508,,"DSCAM_1_SP-del17_HM,DSCAM_2_SP-del17_HM_Thy1-YFP",23175819,,"Truncation of the Dscam gene product leads to severe hydrocephalus, decreased motor function and learning ability."
Mus musculus,Dvl1,Dishevelled segment polarity protein 1,DVL1,13542,,,"Dvl1_1_KO_HM,Dvl1_1_KO_HM_Betagal,Dvl1_1_KO_HM_Brdu,Dvl1_1_KO_HM_CHIR,Dvl1_2_KO_HM_Dvl3_DM,Dvl1_2_KO_HM_Dvl3_DM_Betagal,Dvl1_2_KO_HM_Dvl3_DM_Brdu,Dvl1_2_KO_HM_Dvl3_DM_CHIR",26830142,26830142,"Dvl1null animals display transient anomalies in neuroanatomy during embryonic development, have normal survival rates and display social deficits as adults"
Mus musculus,Dvl3,Dishevelled segment polarity protein 3,DVL3,13544,,,"Dvl1_2_KO_HM_Dvl3_DM,Dvl1_2_KO_HM_Dvl3_DM_Betagal,Dvl1_2_KO_HM_Dvl3_DM_Brdu,Dvl1_2_KO_HM_Dvl3_DM_CHIR,Dvl3_1_KO_HT",26830142,26830142,Dvl3 null embryos die perinatally whereas Dvl3 het mice survive displaying mild deficits in neuronal differentiation
Mus musculus,Dyrk1a,dual specificity tyrosine-Y- phosphorylation regulated kinase 1a,DYRK1A,13548,http://www.informatics.jax.org/marker/MGI:1330299,,"Dyrk1a_1_Tg_HM,Dyrk1a_1_KO_HM,Dyrk1a_2_KO_HT",11555628,,Dyrk1A mutants exhibit alterations in neuromotor development and learning and memory
Mus musculus,Eif4ebp2,eukaryotic translation initiation factor 4E binding protein 2,EIF4EBP2,13688,http://www.informatics.jax.org/marker/MGI:109198,http://mouse.brain-map.org/gene/show/13466,"EIF4EBP2_1_KO_HM,EIF4EBP2_1_KO_HM_4EGI1,EIF4EBP2_1_KO_HM_NLGN1,EIF4EBP2_1_KO_HM_NLGN2,EIF4EBP2_2_OE",23172145,,"Translational control by eIF4E regulates the synthesis of neuroligins, maintaining the excitation-to-inhibition balance, and its dysregulation engenders ASD-like phenotypes"
Mus musculus,En2,Engrailed 2,EN2,13799,http://www.informatics.jax.org/javawi2/servlet/WIFetch?page=markerDetail&key=8511,http://mouse.brain-map.org/brain/En2.html?ispopup=19,"EN2_4_PBDNEO_KO_HM,EN2_5_PBD_KO_HM,EN2_1_HD_KO_HM,EN2_2_HD_KO_HT,EN2_3_NTD_KO_HM",1672471,"106,407,011,693,526,000,000,000,000,000,000,000,000",Homozygous knockout mice display foliation defects in adult cerebellum
Mus musculus,Epha6,Eph receptor A6,EPHA6,13840,http://www.informatics.jax.org/javawi2/servlet/WIFetch?page=markerDetail&key=33343,http://mouse.brain-map.org/brain/Epha6.html?ispopup=20,EPHA6_1_KO_HM,18450376,,Epha6 is involved in neural  circuits underlying aspects of learning and memory
Mus musculus,Eps8,epidermal growth factor receptor pathway substrate 8,EPS8,13860,MGI:104684,,Eps8_1_KO_HM,,23685357,Mouse knock-outs of Eps8 display abnormal spine morphology and impaired potentiation
Mus musculus,Erbb4,v-erb-a erythroblastic leukemia viral oncogene homolog 4 (avian),ERBB4,13869,http://www.informatics.jax.org/javawi2/servlet/WIFetch?page=markerDetail&key=25031,http://mouse.brain-map.org/brain/Erbb4.html?ispopup=21,"ERBB4_1_KO_CN_Tg,ERBB4_2_CN_KO_HM",18632742,"1,965,532,020,080,550",First plausible link between NRG-1/ErbB4 signaling and rhythmic network activity that may be altered in persons with schizophrenia
